scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Fraxinus pennsylvanica,28206,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Acer platanoides,20191,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Ulmus americana,16232,American elm,Ulmus,Ulmaceae,Rosales,106.67,48.82
Acer saccharum,15362,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Tilia americana,12745,American linden,Tilia,Malvaceae,Malvales,96.92,28.02
Celtis occidentalis,12736,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Tilia cordata,12687,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Gleditsia triacanthos,12676,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Acer rubrum,4196,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Ulmus,4000,Elm,Ulmus,Ulmaceae,Rosales,64.26,20.33
