scientific_name,count,common_name,avg_height,avg_diameter
Acer platanoides,10988,Norway maple,100.7,33.48
Gleditsia triacanthos,6307,Honeylocust,90.95,28.15
Tilia cordata,3329,Littleleaf linden,107.87,27.93
Platanus acerifolia,2970,London planetree,124.69,45.68
Fraxinus pennsylvanica,2499,Green ash,142.0,30.74
Quercus rubra,2178,Northern red oak,108.06,34.33
Acer rubrum,1996,Red maple,86.51,24.76
Pyrus communis,1771,Common (fruiting) pear tree,54.46,21.36
Zelkova serrata,1581,Japanese zelkova,103.34,25.53
Acer saccharum,1545,Sugar maple,93.8,26.35
